text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @chloewetzel2: Why is sean still on @DancingABC but sailor gets eliminated ..... i thought these issues were not supposed to happen with…,FALSE,0,NA,2019-10-22T02:11:19Z,FALSE,NA,1186465022496661505,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",haddmad,21,TRUE,FALSE,NA,NA
RT @BrettSVergara: Sean Spicer being told he was safe before Hannah found out is honestly the most upset I’ve ever been at a TV show #DWTS…,FALSE,0,NA,2019-10-22T02:11:18Z,FALSE,NA,1186465019753615360,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",cmagda28,53,TRUE,FALSE,NA,NA
RT @BrettSVergara: Live footage of me hearing Sean Spicer made it through another week #DWTS https://t.co/pp3nG2OPQz,FALSE,0,NA,2019-10-22T02:11:18Z,FALSE,NA,1186465017811439617,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NotKieth1,65,TRUE,FALSE,NA,NA
RT @PromotingAlly: Ally was in the bottom 2. OUR HEARTS STOP. Allygiance we need to VOTE HARDER. Ally don't deserve this. #DWTS #TeamTime2S…,FALSE,0,NA,2019-10-22T02:11:16Z,FALSE,NA,1186465010266099713,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ghostinbrooke,2,TRUE,FALSE,NA,NA
RT @spoonmoonjune: The people vote for Spicer are trying to make a point. They don't care about the show or dancing. This is why he should…,FALSE,0,NA,2019-10-22T02:11:16Z,FALSE,NA,1186465009267806211,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",DiGarBlizz,1,TRUE,FALSE,NA,NA
"RT @DWTSInteract: Kel and Witney: Quickstep

Carrie Ann- 9
Len- 8
Bruno- 9

26/30

#TeamDanceWitKel #DWTS #DWTS28",FALSE,0,NA,2019-10-22T02:11:16Z,FALSE,NA,1186465007997018113,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1RASCALFLATTfan,3,TRUE,FALSE,NA,NA
RT @Allyj96: How has Sean Spicer not been eliminated yet??! #DWTS https://t.co/FGJ7ll3P4Z,FALSE,0,NA,2019-10-22T02:11:15Z,FALSE,NA,1186465007321567233,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",EATafoya,17,TRUE,FALSE,NA,NA
RT @BrettSVergara: Alan’s even better at stripping than Jed :/ #DWTS https://t.co/qGkHKU9xZL,FALSE,0,NA,2019-10-22T02:11:13Z,FALSE,NA,1186464998568144896,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",DroginJennifer,29,TRUE,FALSE,NA,NA
Oh my goodness. This bottom two broke my heart. #DWTS both of you ladies are phenomenal.,FALSE,0,NA,2019-10-22T02:11:12Z,FALSE,NA,1186464994269057029,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gone_pecan,0,FALSE,FALSE,NA,NA
The snot shot though. Hate to see it #DWTS https://t.co/AXmDyDbk0N,FALSE,0,NA,2019-10-22T02:11:12Z,FALSE,NA,1186464992691998721,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",lilnikkib,0,FALSE,FALSE,NA,NA
