text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
"RT @fabianramosc: En CNN/CHV
Periodista: Cuánto recibe usted de pensión?
Señora: 100 mil pesos. 
Periodista: Una vergüenza #EstoNoHaTermina…",FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266218165288960,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",jlfernandez_z,494,TRUE,FALSE,NA,NA
RT @gmolinaponce: 26/10 #Rancagua #EstoNoHaTerminado https://t.co/OuQepPqsja,FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266217641000962,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Gilbert86661070,6,TRUE,FALSE,NA,NA
RT @catyayala: El pueblo unido jamás será vencido!! Esto no para!! A no decaer!! ✊🏻✊🏻✊🏻 Cartagena!  #EstoNoHaTerminado https://t.co/SkAwAmt…,FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266217460719616,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Chikili,7,TRUE,FALSE,NA,NA
RT @Maritza050407: En estos momento Plaza Italia....se acabó la represión ??? Todo está normal?? Juzguen uds mismos ✊🇨🇱 #EstoNoHaTerminado…,FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266216877674501,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",clausnmartin1,2078,TRUE,FALSE,NA,NA
RT @MariaVillavizar: @Heryrevi @NicolasMaduro @CarnetDLaPatria @Patria_ve @1412Yolis @Vilma_Meche @1ChavistaMaduro @Deci3003 @serena_diaz90…,FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266216869289985,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Venezuelavicto5,10,TRUE,FALSE,NA,NA
"RT @ohbeauvoir: Movilizaciones:
• Lun 28: SALUD. 
• Mar 29: NO + AFP
• Mie 30: NO + IMPUESTOS ESPECÍFICOS
• Jue 31: NO + TAG 
• Vie 01: EDU…",FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266216512720896,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sheisvanne,993,TRUE,FALSE,NA,NA
"RT @Urbina20Urbina: Que terrible wn, esto ya es demasiado descarado. #EstoNoHaTerminado, #ChileDespierto, #ESTONOSEACABA https://t.co/zXBMM…",FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266216152064000,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",katywithcats,1,TRUE,FALSE,NA,NA
"RT @fabianramosc: En CNN/CHV
Periodista: Cuánto recibe usted de pensión?
Señora: 100 mil pesos. 
Periodista: Una vergüenza #EstoNoHaTermina…",FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266215728435200,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",suamimizozo,494,TRUE,FALSE,NA,NA
Que wea la tele?mega y el 13 se olvidaron que el país aún está en movilizaciones?#EstoNoHaTerminado,FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266215527145472,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Danyrebolldo,0,FALSE,FALSE,NA,NA
RT @yeolcottonx: Los de essal recuperando lo que habian perdido xd #EstoNoHaTerminado https://t.co/feTap3gLdY,FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266215036407811,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Carreteno,4,TRUE,FALSE,NA,NA
RT @marcoporchile: Lo  hemos dicho y lo seguiremos diciendo: Plebiscito para una #AsambleaConstituyenteAhora. Pasemos de una limitada democ…,FALSE,0,NA,2019-10-27T01:28:37Z,FALSE,NA,1188266214033936385,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",margt78v,120,TRUE,FALSE,NA,NA
"RT @_cameelaa_: Según el gobierno, todo ya terminó con la masiva marcha que se hizo ayer, pero la gente sabe que #EstoNoHaTerminado
Hoy en…",FALSE,0,NA,2019-10-27T01:28:36Z,FALSE,NA,1188266213224386560,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",vickyvv_,36,TRUE,FALSE,NA,NA
"RT @manuelarias97: Bomba lacrimógena cae en la cara de una persona en #Concepcion, después Sgto. 2° J. Diaz C. del piquete a cargo de la “S…",FALSE,0,NA,2019-10-27T01:28:36Z,FALSE,NA,1188266213216079873,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",joseMgonzalezA,886,TRUE,FALSE,NA,NA
RT @camilakurten: Volví a Santiago recién y entrando a mi comuna vi muchas personas manifestándose con sus cacerolas pacíficamente ❤️👏🏽✨ #E…,FALSE,0,NA,2019-10-27T01:28:36Z,FALSE,NA,1188266212817559558,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Javitoou_,1,TRUE,FALSE,NA,NA
"Y ahora, para tratar de volver al antiguo Chile, Panchito Saavedra en la tele. 
Dense cuenta que estamos claros que… https://t.co/1ucu9Ysfm7",FALSE,0,NA,2019-10-27T01:28:36Z,TRUE,NA,1188266212553302016,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Angalliorio,0,FALSE,FALSE,NA,NA
La derecha sigue mostrando que es el sector político mejor constituido hoy en Chile. Frente a las olas del pueblo q… https://t.co/3i7ZAVrEjB,FALSE,0,NA,2019-10-27T01:28:36Z,TRUE,NA,1188266211735461895,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",RLunatico,0,FALSE,FALSE,NA,NA
"RT @demediachilena: Cómo era? Que estábamos volviendo a la normalidad? #EstoNoHaTerminado #ESTONOSEACABA #ChileNoSeRinde 

(📷: @Ivonnee____…",FALSE,0,NA,2019-10-27T01:28:36Z,FALSE,NA,1188266211211001857,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Lobosphinctes,36,TRUE,FALSE,NA,NA
"RT @HeyJonasForever: Protesta pacífica en el Puente Perales. ¡¡¡Aguante Talcahuano!!!

ESTO NO SALDRÁ EN LOS NOTICIEROS. 

#EstoNoHaTermina…",FALSE,0,NA,2019-10-27T01:28:36Z,FALSE,NA,1188266210661732353,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",dojitodojo,365,TRUE,FALSE,NA,NA
"RT @MinisterioCl: A TENDENCIA PARA QUE TODOS SE ENTEREN , LO QUE LA TV CALLA . 

#MARCHALUNES28

#EstoNoHaTerminado",FALSE,0,NA,2019-10-27T01:28:35Z,FALSE,NA,1188266209596366853,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",LuisVas94125715,114,TRUE,FALSE,NA,NA
"RT @demediachilena: Cómo era? Que estábamos volviendo a la normalidad? #EstoNoHaTerminado #ESTONOSEACABA #ChileNoSeRinde 

(📷: @Ivonnee____…",FALSE,0,NA,2019-10-27T01:28:35Z,FALSE,NA,1188266208149344256,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",michaeljohane,36,TRUE,FALSE,NA,NA
"RT @PatixitaJefa: Oiga tío @Twitter, acá en Chile necesitamos el emoji de la #Cacerola onda urgente xq #EstoNoHaTerminado 
Xq #ChileNoSeRin…",FALSE,0,NA,2019-10-27T01:28:35Z,FALSE,NA,1188266207415275520,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RickMall2,8,TRUE,FALSE,NA,NA
