text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,Handle
"RT @DiamondandSilk: Is this tweet considered online sexual harassment or predatory behavior? Where is the #MeToo movement?
@TomArnold, you…",FALSE,0,NA,2019-10-31T02:49:06Z,FALSE,NA,1189736022101225472,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",vincetividad,5623,TRUE,FALSE,NA,NA,@DiamondandSilk
"RT @RaymondArroyo: READ My latest on FoxNews: ""Raymond Arroyo: @johnlegend turns 'Baby, It's Cold Outside' into a clunky #MeToo anthem""

ht…",FALSE,0,NA,2019-10-31T02:49:04Z,FALSE,NA,1189736011875717125,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",pmuldoon21,65,TRUE,FALSE,NA,NA,@RaymondArroyo
"RT @KaivanShroff: “#MeToo has gone too far,” they said.

Weinstein — out and about in NYC

Polanski — won at Venice Film Festival

Louis CK…",FALSE,0,NA,2019-10-31T02:48:57Z,FALSE,NA,1189735985208279040,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JoTrainChoo,3315,TRUE,FALSE,NA,NA,@KaivanShroff
"RT @LillianErdahlMD: What are the experiences of #sexualharassment reported by surgeons in training &amp; practice?

Open-ended ? qualitative a…",FALSE,0,NA,2019-10-31T02:48:53Z,FALSE,NA,1189735966275035136,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",MigsRunner,53,TRUE,FALSE,NA,NA,@LillianErdahlMD
4 beautiful women... Feminism is beautiful 🙌 #Feminism #metoo https://t.co/0vLXNukRYI,FALSE,0,NA,2019-10-31T02:48:52Z,FALSE,NA,1189735963875889155,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",MattLawless7,0,FALSE,FALSE,NA,NA,NA
"RT @thehill: John Legend updates ""Baby, It's Cold Outside"" in wake of #MeToo movement https://t.co/QvbuLvRfye https://t.co/nCZXaMkFEw",FALSE,0,NA,2019-10-31T02:48:43Z,FALSE,NA,1189735926861307904,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",gloriamok8888,17,TRUE,FALSE,NA,NA,@thehill
RT @chadfelixg: If she were a man you'd be publishing outrage #MeToo pieces on abuses of power in politics. 🤷‍♂️ https://t.co/PWv2GV3U6i,FALSE,0,NA,2019-10-31T02:48:36Z,FALSE,NA,1189735894963675136,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hnbc1,182,TRUE,FALSE,NA,NA,@chadfelixg
@johnlegend @ForestryFire Hopefully the fires burned your #MeToo version of #BabyItsColdOutside.  #woke,FALSE,0,johnlegend,2019-10-31T02:48:30Z,FALSE,1189611561696010242,1189735870972039169,18228898,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",TheVegasBob,0,FALSE,FALSE,NA,NA,@johnlegend
"@MeghanNeathway That’s sexist, wake up #MeToo.",FALSE,0,MeghanNeathway,2019-10-31T02:48:21Z,FALSE,1189564358390472704,1189735833001181185,1585005211,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JasonAn23892265,0,FALSE,FALSE,NA,NA,@MeghanNeathway
"RT @thehill: John Legend updates ""Baby, It's Cold Outside"" in wake of #MeToo movement https://t.co/8Pygn4KlbM https://t.co/JNC3tpALNS",FALSE,0,NA,2019-10-31T02:48:09Z,FALSE,NA,1189735781620948997,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Abem1010,6,TRUE,FALSE,NA,NA,@thehill
